StreamName,Treatment,Date,Pass,Section,Transect,FishID,Length,Weight,ATPPase,Photo,FamilyID,Parental Assignment
Mhartiun,0,12.3.18,1,Exp,30,95,92,9.34,28930,3,1,Y
Mhartiun,0,12.3.18,2,Lower,115,122,101,11.25,,30,1,Y
Chaiseachain,1,9.3.18,1,Lower,50,78,100,11.63,,81,1,Y
Scardroy,1,22.3.18,1,Belowextra,,256,124,20.78,12040,20,1,Y
Mhartiun,0,12.3.18,1,Exp,45,103,92,9.14,28959,11,2,Y
Eilean Ghuirm,0,17.3.18,2,Lower,60,235,82,5.88,11995,144,2,Y
Coire Bhuic,0,22.3.18,1,Exp,30,262,98,9.29,12046,26,2,Y
Coire Bhuic,0,22.3.18,1,Lower,45,267,85,7.22,12051,31,2,Y
Chaiseachain,1,9.3.18,1,Exp,15,60,112,16.85,29160,63,2,Y
Chaiseachain,1,9.3.18,1,Exp,90,74,95,10.38,28927,77,2,Y
Chaiseachain,1,9.3.18,1,Lower,20,81,118,18.4,,84,2,Y
Chaiseachain,1,9.3.18,2,Lower,40,89,114,16.26,,92,2,Y
Coire a Ghormachain,1,13.3.18,2,Belowextra,,130,86,6.56,29326,38,2,Y
Glenn Meinnich,1,25.3.18,,Exp,60,297,110,15.6,28974,61,2,Y
Glenn Meinnich,1,25.3.18,,Lower,130,301,130,24.76,28978,65,2,Y
A Chomair,0,8.3.18,1,Lower,65,32,92,9.33,,104,3,Y
A Chomair,0,8.3.18,1,Lower,105,43,102,11.42,,115,3,Y
A Chomair,0,8.3.18,1,Lower,130,52,94,9.21,,124,3,Y
Coire nan Laogh,0,14.3.18,1,Exp,25,140,100,11.66,28992,49,3,Y
Coire nan Laogh,0,14.3.18,1,Exp,30,141,91,9.67,28993,50,3,Y
Coire nan Laogh,0,14.3.18,2,Exp,45,155,91,8.84,29027,64,3,Y
Coire nan Laogh,0,14.3.18,1,Lower,70,171,101,12.03,,80,3,Y
Gleann Chaorain,1,16.3.18,1,Exp,60,190,118,17.54,29053,99,3,Y
Gleann Chaorain,1,16.3.18,2,Lower,65,210,109,14.82,11977,119,3,Y
Gleann Chaorain,1,16.3.18,2,Lower,75,211,104,14.16,11978,120,3,Y
Scardroy,1,22.3.18,1,Exp,40,242,108,14.48,12014,6,3,Y
Scardroy,1,22.3.18,1,Belowextra,,253,115,17.54,12025,17,3,Y
Glenn Meinnich,1,25.3.18,,Lower,145,300,123,20.4,28977,64,3,Y
A Chomair,0,8.3.18,1,Lower,25,23,96,10.21,,95,4,Y
A Chomair,0,8.3.18,1,Lower,110,47,81,6.16,,119,4,Y
Coire nan Laogh,0,14.3.18,1,Lower,15,161,94,9.96,,70,4,Y
Coire nan Laogh,0,14.3.18,1,Lower,30,167,75,4.53,,76,4,Y
Coire Bhuic,0,22.3.18,1,Exp,25,261,89,7.43,12045,25,4,Y
Coire Bhuic,0,22.3.18,1,Lower,25,278,95,9.16,29094,42,4,Y
Chaiseachain,1,9.3.18,1,Lower,45,77,102,12.43,,80,4,Y
Chaiseachain,1,9.3.18,2,Lower,145,92,121,20.85,,95,4,Y
Gleann Chaorain,1,16.3.18,2,Lower,100,204,110,15.42,29087,113,4,Y
Scardroy,1,22.3.18,1,Belowextra,,254,110,17.98,12026,18,4,Y
Glenn Meinnich,1,25.3.18,0,Exp,10,290,122,19.8,29095,54,4,Y
A Chomair,0,8.3.18,1,Exp,15,4,96,9.05,29120,76,5,Y
A Chomair,0,8.3.18,1,Exp,25,7,86,6.48,29123,79,5,Y
A Chomair,0,8.3.18,1,Exp,25,9,88,7.34,29125,81,5,Y
A Chomair,0,8.3.18,1,Lower,10,18,105,13.26,29154,90,5,Y
A Chomair,0,8.3.18,1,Lower,30,25,83,6.34,,97,5,Y
A Chomair,0,8.3.18,1,Lower,40,27,98,9.59,,99,5,Y
A Chomair,0,8.3.18,1,Lower,40,28,102,12.58,,100,5,Y
A Chomair,0,8.3.18,1,Lower,80,35,90,7.5,,107,5,Y
A Chomair,0,8.3.18,1,Lower,95,38,104,12,,110,5,Y
A Chomair,0,8.3.18,1,Lower,95,39,96,9.04,,111,5,Y
A Chomair,0,8.3.18,1,Lower,105,46,87,6.54,,118,5,Y
Mhartiun,0,12.3.18,1,Lower,80,107,119,17.25,28963,15,5,Y
Coire nan Laogh,0,14.3.18,1,Lower,80,175,99,10.24,,84,5,Y
Coire nan Laogh,0,14.3.18,1,Lower,140,181,100,11.59,,90,5,Y
Coire nan Laogh,0,14.3.18,1,Lower,140,182,89,7.57,,91,5,Y
Coire nan Laogh,0,14.3.18,1,Lower,150,183,105,12.87,,92,5,Y
Coire nan Laogh,0,14.3.18,1,Lower,110,184,115,19.58,,93,5,Y
Gleann Chaorain,1,16.3.18,1,Lower,25,195,121,21.18,29058,104,5,Y
Gleann Chaorain,1,16.3.18,2,Lower,75,206,115,18.79,29089,115,5,Y
Scardroy,1,22.3.18,1,Exp,30,239,122,22.13,12011,3,5,Y
Scardroy,1,22.3.18,1,Exp,60,243,113,16.94,12015,7,5,Y
Scardroy,1,22.3.18,1,Belowextra,,255,123,22.86,12027,19,5,Y
Mhartiun,0,12.3.18,1,Lower,25,101,100,13.44,28957,9,6,Y
Mhartiun,0,12.3.18,2,Lower,150,123,93,9.95,,31,6,Y
Coire Bhuic,0,22.3.18,1,Lower,85,282,89,7.57,28970,46,6,Y
Coire Bhuic,0,22.3.18,2,Lower,35,289,86,7.01,28977,53,6,Y
Coire a Ghormachain,1,13.3.18,2,Belowextra,,131,95,9.19,29327,39,6,Y
Scardroy,1,22.3.18,1,Lower,75,238,122,20.02,12010,2,6,Y
Glenn Meinnich,1,25.3.18,,Lower,10,303,130,25.01,28980,67,6,Y
A Chomair,0,8.3.18,1,Exp,10,1,88,7.86,29117,73,7,Y
A Chomair,0,8.3.18,1,Exp,20,6,84,6.71,29122,78,7,Y
A Chomair,0,8.3.18,1,Lower,90,37,84,6.49,,109,7,Y
Chaiseachain,1,9.3.18,1,Exp,25,63,115,17.55,28896,66,7,Y
Chaiseachain,1,9.3.18,1,Exp,85,71,108,13.44,28904,74,7,Y
Gleann Chaorain,1,16.3.18,1,Exp,80,193,103,12.67,29056,102,7,Y
Gleann Chaorain,1,16.3.18,2,Exp,10,199,118,20.12,29062,108,7,Y
Gleann Chaorain,1,16.3.18,2,Lower,85,201,95,9.6,29084,110,7,Y
Gleann Chaorain,1,16.3.18,2,Lower,70,205,107,16.09,29088,114,7,Y
Gleann Chaorain,1,16.3.18,2,Lower,65,209,118,20.34,11976,118,7,Y
Scardroy,1,22.3.18,1,Lower,35,240,99,11.24,12012,4,7,Y
Coire Bhuic,0,22.3.18,1,Lower,80,258,90,7.99,12042,22,8,Y
Chaiseachain,1,9.3.18,1,Exp,30,64,131,24.68,28897,67,8,Y
Chaiseachain,1,9.3.18,1,Lower,20,82,122,21.01,,85,8,Y
Gleann Chaorain,1,16.3.18,2,Lower,100,203,114,15.76,29086,112,8,Y
Glenn Meinnich,1,25.3.18,,Lower,10,302,135,26.06,28979,66,8,Y
Mhartiun,0,12.3.18,1,Lower,105,110,109,14.52,28966,18,9,Y
Eilean Ghuirm,0,17.3.18,1,Lower,50,226,101,11.58,11986,135,9,Y
Coire Bhuic,0,22.3.18,1,Exp,20,257,100,11.88,12041,21,9,Y
Coire Bhuic,0,22.3.18,1,Exp,45,265,90,7.8,12049,29,9,Y
Coire Bhuic,0,22.3.18,1,Exp,40,266,95,9.4,12050,30,9,Y
Coire Bhuic,0,22.3.18,1,Lower,20,279,92,8.05,29095,43,9,Y
Coire Bhuic,0,22.3.18,2,Lower,55,286,89,7.35,28974,50,9,Y
Coire Bhuic,0,22.3.18,2,Lower,65,287,79,4.64,28975,51,9,Y
Chaiseachain,1,9.3.18,1,Lower,65,59,112,16.48,28993,62,9,Y
Chaiseachain,1,9.3.18,1,Exp,20,61,113,16.59,28894,64,9,Y
Chaiseachain,1,9.3.18,1,Exp,50,65,115,17.65,28898,68,9,Y
Chaiseachain,1,9.3.18,1,Exp,55,67,114,17.6,28900,70,9,Y
Chaiseachain,1,9.3.18,1,Exp,95,76,106,12.97,,79,9,Y
Chaiseachain,1,9.3.18,1,Lower,10,83,118,18.98,,86,9,Y
Chaiseachain,1,9.3.18,2,Exp,75,86,118,17.89,,89,9,Y
Glenn Meinnich,1,25.3.18,,Lower,80,298,132,24.73,28975,62,9,Y
Glenn Meinnich,1,25.3.18,,Belowextra,,304,121,19.31,28981,68,9,Y
A Chomair,0,8.3.18,1,Exp,10,2,95,9.09,29118,74,10,Y
A Chomair,0,8.3.18,1,Exp,10,3,100,10.58,29119,75,10,Y
Mhartiun,0,12.3.18,1,Lower,25,100,114,16.8,28936,8,10,Y
Coire nan Laogh,0,14.3.18,1,Lower,80,174,104,12.21,,83,10,Y
Glenn Meinnich,1,25.3.18,,Belowextra,,306,111,16.57,28983,70,10,Y
Mhartiun,0,12.3.18,2,Lower,85,118,107,12.77,,26,11,Y
Mhartiun,0,12.3.18,2,Lower,115,121,90,8,,29,11,Y
Eilean Ghuirm,0,17.3.18,2,Exp,55,229,88,7.29,11989,138,11,Y
Gleann Chaorain,1,16.3.18,2,Lower,85,200,116,16.81,29063,109,11,Y
Mhartiun,0,12.3.18,1,Exp,40,98,103,11.34,28934,6,12,Y
Mhartiun,0,12.3.18,1,Exp,55,105,106,13.05,28961,13,12,Y
Mhartiun,0,12.3.18,1,Lower,135,112,89,7.41,28968,20,12,Y
Mhartiun,0,12.3.18,2,Lower,30,117,91,8.55,,25,12,Y
Mhartiun,0,12.3.18,2,Lower,145,119,89,8.3,,27,12,Y
Mhartiun,0,12.3.18,2,Lower,130,120,91,7.23,,28,12,Y
Coire Bhuic,0,22.3.18,1,Lower,40,281,98,9.98,28969,45,12,Y
Chaiseachain,1,9.3.18,1,Lower,10,84,126,22.29,,87,12,Y
Coire a Ghormachain,1,13.3.18,1,Belowextra,,129,93,8.32,29325,37,12,Y
Coire a Ghormachain,1,13.3.18,2,Belowextra,,132,88,7.52,29328,40,12,Y
Coire a Ghormachain,1,13.3.18,2,Lower,70,135,104,11.98,29351,44,12,Y
Gleann Chaorain,1,16.3.18,1,Exp,55,189,100,10.25,29032,98,12,Y
Gleann Chaorain,1,16.3.18,1,Exp,75,192,105,14.12,29055,101,12,Y
Gleann Chaorain,1,16.3.18,2,Lower,15,207,122,19.03,29090,116,12,Y
Gleann Chaorain,1,16.3.18,2,Lower,60,208,109,14.26,29091,117,12,Y
Scardroy,1,22.3.18,1,Lower,85,237,120,19.7,12009,1,12,Y
Scardroy,1,22.3.18,1,Lower,10,241,116,18.75,12013,5,12,Y
Glenn Meinnich,1,25.3.18,,Lower,95,292,126,21.7,28969,56,12,Y
Mhartiun,0,12.3.18,1,Lower,90,108,99,10.12,28964,16,13,Y
Mhartiun,0,12.3.18,2,Lower,110,114,118,16.48,,22,13,Y
Coire a Ghormachain,1,13.3.18,1,Belowextra,,128,105,11.69,29324,36,13,Y
Gleann Chaorain,1,16.3.18,2,Lower,135,213,120,18.51,11980,122,13,Y
Mhartiun,0,12.3.18,2,Exp,25,124,104,12.03,,32,14,Y
Coire nan Laogh,0,14.3.18,2,Exp,10,150,113,14.56,29022,59,14,Y
Coire nan Laogh,0,14.3.18,1,Lower,90,176,112,14.75,,85,14,Y
Coire nan Laogh,0,14.3.18,1,Lower,90,177,97,9.94,,86,14,Y
Eilean Ghuirm,0,17.3.18,1,Lower,10,218,92,8.03,11978,127,14,Y
Coire Bhuic,0,22.3.18,1,Lower,60,260,107,12.35,12044,24,14,Y
Chaiseachain,1,9.3.18,1,Exp,90,72,132,23.02,28925,75,14,Y
Chaiseachain,1,9.3.18,2,Lower,25,90,124,19.79,,93,14,Y
Scardroy,1,22.3.18,1,Lower,145,247,128,22.46,12019,11,14,Y
Mhartiun,0,12.3.18,1,Exp,15,93,122,20.75,28929,1,15,Y
Mhartiun,0,12.3.18,1,Exp,50,104,104,11.2,28960,12,15,Y
Mhartiun,0,12.3.18,2,Lower,150,116,110,13.94,,24,15,Y
Coire Bhuic,0,22.3.18,2,Lower,85,283,97,9.99,28971,47,15,Y
Coire Bhuic,0,22.3.18,2,Lower,75,284,95,9.08,28972,48,15,Y
Chaiseachain,1,9.3.18,1,Lower,95,57,122,20.3,29158,60,15,Y
Chaiseachain,1,9.3.18,1,Lower,50,79,111,16.41,,82,15,Y
Gleann Chaorain,1,16.3.18,1,Lower,55,198,134,28.38,29061,107,15,Y
Gleann Chaorain,1,16.3.18,2,Lower,130,212,100,11.94,11979,121,15,Y
Gleann Chaorain,1,16.3.18,2,Lower,145,214,124,20.35,11981,123,15,Y
Scardroy,1,22.3.18,1,Lower,100,249,109,14.12,12021,13,15,Y
A Chomair,0,8.3.18,1,Exp,30,11,88,7.2,29127,83,16,Y
A Chomair,0,8.3.18,1,Exp,50,13,87,7.98,29149,85,16,Y
A Chomair,0,8.3.18,1,Exp,75,16,87,6.74,29152,88,16,Y
A Chomair,0,8.3.18,1,Lower,10,17,94,10.03,29153,89,16,Y
A Chomair,0,8.3.18,1,Lower,15,21,97,10.8,,93,16,Y
A Chomair,0,8.3.18,1,Lower,40,29,91,9.31,,101,16,Y
Coire nan Laogh,0,14.3.18,1,Exp,15,139,86,7.39,28991,48,16,Y
Coire nan Laogh,0,14.3.18,1,Exp,35,142,86,7.73,28994,51,16,Y
Coire nan Laogh,0,14.3.18,1,Exp,40,143,98,11.84,28995,52,16,Y
Coire nan Laogh,0,14.3.18,1,Exp,50,144,105,13.31,28996,53,16,Y
Coire nan Laogh,0,14.3.18,1,Exp,55,146,100,11.51,28998,55,16,Y
Coire nan Laogh,0,14.3.18,1,Exp,65,147,110,14.25,28999,56,16,Y
Coire nan Laogh,0,14.3.18,1,Exp,75,149,85,7.58,29021,58,16,Y
Coire nan Laogh,0,14.3.18,2,Exp,20,152,91,9.09,29024,61,16,Y
Coire nan Laogh,0,14.3.18,1,Exp,60,157,93,9.64,,66,16,Y
Coire nan Laogh,0,14.3.18,1,Lower,5,158,96,10.81,,67,16,Y
Coire nan Laogh,0,14.3.18,1,Lower,5,159,94,10.19,,68,16,Y
Coire nan Laogh,0,14.3.18,1,Lower,20,164,90,8.84,,73,16,Y
Coire nan Laogh,0,14.3.18,1,Lower,25,166,87,7.9,,75,16,Y
Coire nan Laogh,0,14.3.18,1,Lower,35,168,117,16.97,,77,16,Y
Coire nan Laogh,0,14.3.18,1,Lower,70,172,112,14.72,,81,16,Y
Coire nan Laogh,0,14.3.18,1,Lower,125,179,104,14.17,,88,16,Y
Coire a Ghormachain,1,13.3.18,2,Lower,65,134,113,14.56,29350,43,17,Y
Mhartiun,0,12.3.18,1,Exp,35,96,113,16.02,28932,4,18,Y
Mhartiun,0,12.3.18,1,Lower,15,113,95,10.8,,21,18,Y
Eilean Ghuirm,0,17.3.18,1,Lower,10,220,92,8.62,11980,129,18,Y
Eilean Ghuirm,0,17.3.18,2,Exp,70,231,85,5.73,11991,140,18,Y
Coire a Ghormachain,1,13.3.18,1,Exp,50,127,98,10.54,29323,35,18,Y
Coire nan Laogh,0,14.3.18,1,Lower,20,162,91,9.46,,71,19,Y
Eilean Ghuirm,0,17.3.18,1,Exp,5,216,101,11.2,11976,125,19,Y
Coire Bhuic,0,22.3.18,1,Exp,30,263,102,11.33,12047,27,19,Y
Coire Bhuic,0,22.3.18,1,Exp,80,270,104,12.33,12054,34,19,Y
Coire Bhuic,0,22.3.18,1,Lower,15,276,103,11.95,29092,40,19,Y
Chaiseachain,1,9.3.18,1,Exp,60,68,122,20.33,28901,71,19,Y
Chaiseachain,1,9.3.18,1,Lower,50,80,120,20.14,,83,19,Y
Chaiseachain,1,9.3.18,2,Exp,90,87,117,14.58,,90,19,Y
Coire a Ghormachain,1,13.3.18,1,Exp,10,125,93,8.56,29321,33,19,Y
Coire a Ghormachain,1,13.3.18,1,Exp,15,126,97,10.24,29322,34,19,Y
Coire a Ghormachain,1,13.3.18,2,Exp,65,133,90,8.44,29349,42,19,Y
Coire a Ghormachain,1,13.3.18,2,Lower,15,136,85,6.47,29352,45,19,Y
Gleann Chaorain,1,16.3.18,1,Lower,45,196,139,31.76,29059,105,19,Y
Scardroy,1,22.3.18,1,Lower,110,250,123,24.53,12022,14,19,Y
Scardroy,1,22.3.18,1,Belowextra,,252,122,23.68,12024,16,19,Y
Glenn Meinnich,1,25.3.18,,Lower,60,293,128,22.73,28970,57,19,Y
A Chomair,0,8.3.18,1,Exp,70,15,105,11.87,29151,87,20,Y
A Chomair,0,8.3.18,1,Lower,35,26,101,11.78,,98,20,Y
A Chomair,0,8.3.18,1,Lower,120,48,86,6.99,,120,20,Y
Mhartiun,0,12.3.18,1,Exp,20,94,107,13.51,28931,2,20,Y
Mhartiun,0,12.3.18,1,Lower,55,106,100,11.05,28962,14,20,Y
Mhartiun,0,12.3.18,1,Lower,90,109,102,11.5,28965,17,20,Y
Mhartiun,0,12.3.18,1,Lower,105,111,109,12.85,28967,19,20,Y
Eilean Ghuirm,0,17.3.18,1,Exp,40,217,97,10.28,11977,126,20,Y
Chaiseachain,1,9.3.18,1,Exp,90,73,128,22.88,28926,76,20,Y
Chaiseachain,1,9.3.18,1,Exp,100,75,130,23.65,28928,78,20,Y
Gleann Chaorain,1,16.3.18,1,Exp,5,186,129,27.5,29029,95,20,Y
Gleann Chaorain,1,16.3.18,1,Lower,25,194,129,27.71,29057,103,20,Y
Scardroy,1,22.3.18,1,Lower,135,246,136,27.12,12018,10,20,Y
Scardroy,1,22.3.18,1,Lower,115,251,125,24.19,12023,15,20,Y
A Chomair,0,8.3.18,1,Lower,50,31,98,11.48,,103,21,Y
A Chomair,0,8.3.18,1,Lower,105,42,100,11.3,,114,21,Y
Gleann Chaorain,1,16.3.18,1,Exp,40,188,105,13.41,29031,97,21,Y
Scardroy,1,22.3.18,1,Lower,145,248,113,19.14,12020,12,21,Y
Mhartiun,0,12.3.18,1,Exp,45,102,98,10.5,28958,10,22,Y
Coire Bhuic,0,22.3.18,2,Lower,75,285,78,4.76,28973,49,22,Y
Chaiseachain,1,9.3.18,2,Lower,15,91,126,24.56,,94,22,Y
Gleann Chaorain,1,16.3.18,2,Exp,65,202,127,22.75,29085,111,22,Y
Glenn Meinnich,1,25.3.18,,Lower,145,299,112,18.26,28976,63,22,Y
Coire Bhuic,0,22.3.18,1,Exp,75,271,100,11,12055,35,23,Y
Coire Bhuic,0,22.3.18,1,Exp,70,273,89,8.26,12057,37,23,Y
Coire Bhuic,0,22.3.18,1,Exp,70,274,78,5.64,12058,38,23,Y
Chaiseachain,1,9.3.18,1,Exp,75,69,123,19.9,28902,72,23,Y
Chaiseachain,1,9.3.18,2,Exp,30,85,122,19.78,,88,23,Y
Glenn Meinnich,1,25.3.18,,Exp,45,294,132,24.83,28971,58,23,Y
Glenn Meinnich,1,25.3.18,,Belowextra,,305,112,18.51,28982,69,23,Y
A Chomair,0,8.3.18,1,Exp,30,10,99,10.12,29126,82,24,Y
A Chomair,0,8.3.18,1,Lower,15,19,115,16.24,29155,91,24,Y
A Chomair,0,8.3.18,1,Lower,15,20,104,11.98,29156,92,24,Y
A Chomair,0,8.3.18,1,Lower,30,24,83,6.33,,96,24,Y
A Chomair,0,8.3.18,1,Lower,45,30,79,5.79,,102,24,Y
A Chomair,0,8.3.18,1,Lower,90,36,93,8.77,,108,24,Y
A Chomair,0,8.3.18,1,Lower,105,45,85,7.42,,117,24,Y
A Chomair,0,8.3.18,1,Lower,120,50,82,6.4,,122,24,Y
Mhartiun,0,12.3.18,1,Lower,20,99,114,15.91,28935,7,24,Y
Coire nan Laogh,0,14.3.18,1,Exp,5,138,89,7.71,28990,47,24,Y
Coire nan Laogh,0,14.3.18,2,Exp,25,153,99,10.63,29025,62,24,Y
Coire nan Laogh,0,14.3.18,1,Lower,20,163,99,10.48,,72,24,Y
Coire nan Laogh,0,14.3.18,1,Lower,25,165,88,7.25,,74,24,Y
Coire nan Laogh,0,14.3.18,1,Lower,40,170,99,10.72,,79,24,Y
Coire Bhuic,0,22.3.18,1,Lower,0,264,86,6.79,12048,28,24,Y
Chaiseachain,1,9.3.18,1,Exp,25,62,132,24.83,28895,65,24,Y
Gleann Chaorain,1,16.3.18,1,Exp,20,187,127,21.6,29030,96,24,Y
Gleann Chaorain,1,16.3.18,1,Exp,70,191,123,22.73,29054,100,24,Y
Mhartiun,0,12.3.18,2,Lower,150,115,105,12.16,,23,26,Y
Eilean Ghuirm,0,17.3.18,2,Exp,55,230,77,4.34,11990,139,26,Y
Coire Bhuic,0,22.3.18,1,Lower,45,268,94,8.58,12052,32,26,Y
Coire Bhuic,0,22.3.18,1,Lower,30,280,88,7.05,29096,44,26,Y
Chaiseachain,1,9.3.18,2,Exp,90,88,122,18.72,,91,26,Y
Glenn Meinnich,1,25.3.18,,Exp,60,296,121,22.91,28973,60,27,Y
A Chomair,0,8.3.18,1,Lower,95,40,106,12.36,,112,28,Y
A Chomair,0,8.3.18,1,Lower,130,51,106,12.32,,123,28,Y
A Chomair,0,8.3.18,1,Lower,130,53,102,12.07,,125,28,Y
A Chomair,0,8.3.18,1,Lower,135,54,92,8.26,,126,28,Y
Coire nan Laogh,0,14.3.18,1,Exp,55,145,105,14.01,28997,54,28,Y
Coire nan Laogh,0,14.3.18,2,Exp,10,151,97,11.23,29023,60,28,Y
Coire nan Laogh,0,14.3.18,2,Exp,60,156,103,11.8,29028,65,28,Y
Coire nan Laogh,0,14.3.18,1,Lower,75,173,104,12.46,,82,28,Y
Coire nan Laogh,0,14.3.18,1,Lower,110,185,122,19.01,,94,28,Y
A Chomair,0,8.3.18,1,Exp,40,12,99,10.12,29128,84,29,Y
A Chomair,0,8.3.18,1,Exp,60,14,88,7.51,29150,86,29,Y
A Chomair,0,8.3.18,1,Lower,70,34,82,5.92,,106,29,Y
A Chomair,0,8.3.18,1,Lower,95,41,96,9.24,,113,29,Y
A Chomair,0,8.3.18,1,Lower,105,44,90,7.94,,116,29,Y
A Chomair,0,8.3.18,1,Lower,140,55,108,14.29,,127,29,Y
Coire nan Laogh,0,14.3.18,1,exp,75,148,104,12.31,29000,57,29,Y
Coire nan Laogh,0,14.3.18,2,Exp,45,154,104,12.13,29026,63,29,Y
Coire nan Laogh,0,14.3.18,1,Lower,15,160,104,12.57,,69,29,Y
Coire nan Laogh,0,14.3.18,1,Lower,40,169,94,10.27,,78,29,Y
Coire nan Laogh,0,14.3.18,1,Lower,95,178,91,7.99,,87,29,Y
Coire Bhuic,0,22.3.18,2,Lower,35,288,78,4.43,28976,52,29,Y
Gleann Chaorain,1,16.3.18,1,Lower,50,197,115,18.86,29060,106,29,Y
Gleann Chaorain,1,16.3.18,2,Lower,150,215,110,15.69,11982,124,29,Y
Scardroy,1,22.3.18,1,Exp,45,245,104,15.78,12017,9,29,Y
Eilean Ghuirm,0,17.3.18,2,Exp,35,228,103,13.64,11988,137,30,Y
Coire Bhuic,0,22.3.18,1,Lower,80,259,82,5.28,12043,23,30,Y
Chaiseachain,1,9.3.18,1,Exp,10,56,107,14.58,29157,59,30,Y
Chaiseachain,1,9.3.18,1,Lower,65,58,121,21.5,29159,61,30,Y
Chaiseachain,1,9.3.18,1,Exp,50,66,115,16.39,28899,69,30,Y
Chaiseachain,1,9.3.18,1,Exp,70,70,120,19.44,28903,73,30,Y
Glenn Meinnich,1,25.3.18,,Exp,15,291,129,26.64,29096,55,30,Y
Glenn Meinnich,1,25.3.18,,Exp,50,295,121,21.82,28972,59,30,Y
A Chomair,0,8.3.18,1,Exp,20,5,101,10.71,29121,77,,N
A Chomair,0,8.3.18,1,Lower,20,22,88,7.41,,94,,N
A Chomair,0,8.3.18,1,Lower,70,33,79,5.59,,105,,N
A Chomair,0,8.3.18,1,Lower,120,49,94,9.42,,121,,N
Mhartiun,0,12.3.18,1,Exp,35,97,117,17.44,28933,5,,N
Coire nan Laogh,0,14.3.18,1,Exp,5,137,134,27.71,28989,46,,N
Coire nan Laogh,0,14.3.18,1,Lower,140,180,119,17.9,,89,,N
Eilean Ghuirm,0,17.3.18,1,Lower,10,219,91,8.18,11979,128,,N
Eilean Ghuirm,0,17.3.18,1,Lower,25,221,111,14.58,11981,130,,N
Eilean Ghuirm,0,17.3.18,1,Lower,30,222,94,8.72,11982,131,,N
Eilean Ghuirm,0,17.3.18,1,Lower,35,223,94,8.76,11983,132,,N
Eilean Ghuirm,0,17.3.18,1,Lower,40,224,86,6.58,11984,133,,N
Eilean Ghuirm,0,17.3.18,1,Lower,50,225,90,8.1,11985,134,,N
Eilean Ghuirm,0,17.3.18,1,Lower,80,227,107,13.58,11987,136,,N
Eilean Ghuirm,0,17.3.18,2,Exp,100,232,123,19.65,11992,141,,N
Eilean Ghuirm,0,17.3.18,2,Exp,100,233,108,13.21,11993,142,,N
Eilean Ghuirm,0,17.3.18,2,Lower,70,234,110,17.01,11994,143,,N
Eilean Ghuirm,0,17.3.18,2,Lower,60,236,91,7.66,12008,145,,N
Coire Bhuic,0,22.3.18,1,Exp,55,269,75,3.93,12053,33,,N
Coire Bhuic,0,22.3.18,1,Exp,75,272,85,6.21,12056,36,,N
Coire Bhuic,0,22.3.18,1,Lower,10,275,95,9.01,12059,39,,N
Coire Bhuic,0,22.3.18,1,Lower,15,277,82,6.05,29093,41,,N
A Chomair,0,8.3.18,1,Exp,25,8,102,11.37,29124,80,,N
Scardroy,1,22.3.18,1,Exp,60,244,103,12.56,12016,8,,N
